feature,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
longitude,33038.0,-9.154549063726972,0.028580575187772503,-9.232988550406722,-9.21010016077016,-9.194741561711206,-9.173732032512417,-9.156689497763404,-9.139608387558512,-9.102094317535414,-9.067352590646088,-9.035696791232676
log1p_spend_groceries,33038.0,9.42170808755702,0.8509111993338698,0.0,6.470799503782602,7.998620966256357,9.065083359319043,9.472973830237557,9.943092807128487,10.603592968172785,11.00190934864909,11.558577376639157
share_spend_groceries,33038.0,0.6475954492561976,0.18593530644473788,0.0,0.07598798847713589,0.24510753332761365,0.5706369934966695,0.6997594783371521,0.7784587422759202,0.8588245952633001,0.8937909769917324,0.9456961812370325
log1p_spend_electronics,33038.0,7.184570287244628,1.3786834522346598,0.0,3.1354942159291497,4.727387818712341,6.385194398997726,7.293697720601438,8.209308411646937,9.21933474985995,9.728102051839995,10.471638242921388
share_spend_electronics,33038.0,0.11565067689433642,0.1269830154782115,0.0,0.0012873344286991723,0.006616968703159493,0.03304709999845991,0.0750306554886438,0.14228131671208438,0.4208589302551266,0.58829631784032,0.8216728217754069
log1p_spend_vegetables,33038.0,6.085093573780309,1.1501689934935058,0.0,2.4849066497880004,4.02535169073515,5.434811329896479,6.156978985585555,6.960347729101308,7.637234388789473,7.755608677918095,8.11312710422178
share_spend_vegetables,33038.0,0.04209034906922752,0.05157365950787929,0.0,0.0005183675269110285,0.002490654281117723,0.00960373395747257,0.021640558428427957,0.055368255409476014,0.14566894796520286,0.2457143456631168,0.5525433202906652
log1p_spend_nonalcohol_drinks,33038.0,5.929918144555337,0.725163085275759,0.0,3.8066624897703196,4.672828834461906,5.488937726156687,6.045005314036012,6.46302945692067,6.877296071497429,7.113956109566034,7.687538766201629
share_spend_nonalcohol_drinks,33038.0,0.022611661854957128,0.01545476785020622,0.0,0.0022909805517263714,0.005870684847965882,0.012123483768955296,0.01889664898862559,0.02875393014035029,0.052040489040494096,0.07750310629727762,0.20037485091156926
log1p_spend_alcohol_drinks,33038.0,6.001372022100689,1.0779035213805268,0.0,2.6390573296152584,4.060443010546419,5.318119993844216,6.182084906716632,6.787844982309579,7.4188708377759776,7.704811922932594,8.217438537730187
share_spend_alcohol_drinks,33038.0,0.029403473987567322,0.02505258358277908,0.0,0.0006427979589805099,0.0029055356848200348,0.011096770698927713,0.022549752378448883,0.04146684657708835,0.07640264553088054,0.11490426380481647,0.44687582388610597
log1p_spend_meat,33038.0,6.168927555344063,1.1759116784246972,0.0,2.6390573296152584,3.713572066704308,5.87493073085203,6.593044534142437,6.911747300251674,7.371489295214277,7.625233920322424,8.023879992734878
share_spend_meat,33038.0,0.03555035603661588,0.029613586312824697,0.0,0.0007396525877875494,0.0021944168156420654,0.015834406033323933,0.031154824571838158,0.04728516128413607,0.08727353806502343,0.14220337988512904,0.4939759036144578
log1p_spend_fish,33038.0,5.903589624611272,1.2354508996787212,0.0,2.0794415416798357,3.5218825801437132,5.198497031265826,6.238324625039508,6.811244378601294,7.344719054149673,7.60071741327666,8.062432791583195
share_spend_fish,33038.0,0.027879424941545782,0.023637788213951263,0.0,0.0003754238658426989,0.0018329173799171857,0.010086066838104327,0.02359158011669607,0.03848003180905457,0.07060964070023097,0.11154062550886673,0.3115073836723321
log1p_spend_hygiene,33038.0,6.345912310308076,1.0237793732391691,0.0,2.833213344056216,4.382026634673881,5.902633333401366,6.532334292222349,7.016609683894219,7.6487397889562425,7.846445246167495,8.155649270366002
share_spend_hygiene,33038.0,0.04281717276100535,0.04034353878994457,0.0,0.000775875580569064,0.0038815538898517832,0.016924116264520978,0.031007317022253768,0.053467497679454995,0.12491039699009503,0.1907994455864484,0.43772533595542445
log1p_spend_videogames,33038.0,5.366203088099373,1.106917383694158,0.0,1.9459101490553132,3.4339872044851463,4.844187086458591,5.4116460518550396,5.916202062607435,7.360739903058278,7.605392364814935,8.278174290943738
share_spend_videogames,33038.0,0.018131000718887704,0.023561451973917413,0.0,0.00034286525218271897,0.0016436923657029351,0.005967398656478688,0.010127289867626864,0.017989194697716697,0.0696460585752163,0.11332317360593727,0.290849968385873
log1p_spend_petfood,33038.0,5.664777590161228,0.6627953360507414,0.0,3.1780538303479458,4.465908118654584,5.429345628954441,5.793013608384144,6.07073772800249,6.413458957167357,6.648984550024776,7.110696122978827
share_spend_petfood,33038.0,0.01827043447965916,0.014025452998719365,0.0,0.000995825355004663,0.003614706477158791,0.009124946557122798,0.015077832475816568,0.02338807100645248,0.043138727503543424,0.07141126391617555,0.23630037692084663
