invoice_id,list_of_goods,customer_id
11492279,"['half-life: alyx', 'carrots', 'white wine', 'antioxydant juice', 'asparagus', 'final fantasy XIX', 'escalope', 'pickles', 'green beans', 'green tea']",38907
4789773,"['energy drink', 'ratchet & clank 3', 'pepper', 'cologne', 'airpods', 'final fantasy XXII', 'french fries', 'brownies', 'pokemon shield', 'green tea']",17750
11385810,"['chicken', 'cologne', 'asparagus', 'cooking oil', 'meatballs']",39192
7288910,"['butter', 'cookies', 'yogurt cake', 'tea', 'canned_tuna', 'eggs', 'honey', 'cereals', 'mushroom cream sauce', 'green tea', 'frozen vegetables', 'ham']",14654
2668279,"['ratchet & clank 3', 'rice', 'salmon', 'french fries', 'iphone 10', 'pickles', 'salad', 'phone charger', 'bluetooth headphones', 'vegetables mix', 'mushroom cream sauce', 'frozen vegetables']",30833
5438525,"['half-life: alyx', 'chicken', 'rice', 'tomatoes', 'nonfat milk', 'toothpaste', 'grated cheese', 'toilet paper', 'french wine', 'hand protein bar']",38554
4256403,"['low fat yogurt', 'whole wheat rice', 'cottage cheese', 'mint', 'cat food', 'chili']",8714
3046476,"['fresh tuna', 'sandwich', 'oil', 'shallot', 'butter', 'mayonnaise', 'tea', 'canned_tuna', 'eggs', 'honey', 'cereals', 'pokemon shield', 'cooking oil', 'fresh bread', 'burger sauce']",3442
7470291,"['energy drink', 'deodorant', 'shampoo', 'chocolate bread', 'tooth brush', 'melons', 'shower gel', 'protein bar', 'nonfat milk', 'toothpaste', 'pet food', 'gluten free bar']",22045
2152503,"['deodorant', 'shampoo', 'tomatoes', 'antioxydant juice', 'oatmeal', 'protein bar', 'salad', 'pet food', 'spaghetti']",19939
1981604,"['light cream', 'salmon', 'light mayo', 'olive oil', 'eggs', 'cereals', 'mushroom cream sauce', 'fresh bread', 'parmesan cheese', 'milk']",1755
9393503,"['shampoo', 'final fantasy XXII', 'laptop', 'melons', 'yams', 'iMac', 'salad', 'ratchet & clank']",28342
8161119,"['cake', 'chutney', 'whole wheat rice', 'cottage cheese', 'champagne', 'samsung galaxy 10', 'zucchini', 'tea', 'yams', 'oatmeal', 'pickles', 'gadget for tiktok streaming', 'salt', 'body spray']",23556
3255551,"['carrots', 'cake', 'low fat yogurt', 'shampoo', 'airpods', 'chocolate bread', 'antioxydant juice', 'shallot', 'melons', 'canned_tuna', 'ground beef', 'eggs', 'energy bar', 'gluten free bar']",26794
2060656,"['burgers', 'whole weat flour', 'honey', 'sparkling water', 'cereals']",24739
2258038,"['cake', 'airpods', 'cottage cheese', 'samsung galaxy 10', 'antioxydant juice', 'melons', 'protein bar', 'minecraft', 'dessert wine', 'ring light', 'tomato sauce', 'pokemon violet', 'energy bar', 'salt']",12927
5036697,"['cake', 'low fat yogurt', 'butter', 'bacon', 'cat food', 'seabass']",10268
7048909,"['burgers', 'cologne', 'samsung galaxy 10', 'antioxydant juice', 'cauliflower', 'cat food', 'hot dogs', 'yogurt cake', 'black beer', 'olive oil', 'seabass', 'french wine', 'portal']",4749
209267,"['carrots', 'corn', 'chocolate', 'soda', 'asparagus', 'flax seed', 'iMac', 'toothpaste', 'gadget for tiktok streaming', 'whole wheat pasta', 'fresh bread', 'salt']",38799
10011206,"['olive oil', 'ground beef', 'ring light', 'gluten free bar', 'parmesan cheese']",3032
7993378,"['pepper', 'frozen smoothie', 'chocolate', 'soda', 'asparagus', 'protein bar', 'frozen vegetables', 'candy bars', 'toothpaste', 'escalope', 'ring light', 'herb & pepper', 'ratchet & clank 2', 'body spray']",32082
2486833,"['chutney', 'turkey', 'cookies', 'extra dark chocolate', 'final fantasy XIX', 'iMac', 'nonfat milk', 'gums', 'megaman zero 4', 'gadget for tiktok streaming', 'water spray', 'mashed potato', 'herb & pepper', 'frozen vegetables', 'ham']",33528
6669372,"['strong cheese', 'barbecue sauce', 'cottage cheese', 'megaman zero 2', 'gadget for tiktok streaming', 'trout', 'razor', 'ketchup', 'ratchet & clank']",30304
8282368,"['oil', 'whole wheat pasta', 'pepper', 'pancakes', 'escalope', 'olive oil', 'green beans', 'bluetooth headphones', 'portal']",6568
1740941,"['vegetables mix', 'ratchet & clank 3', 'shrimp', 'cider', 'ring light', 'toilet paper', 'bluetooth headphones', 'energy bar']",32248
1397799,"['burgers', 'beer', 'butter', 'extra dark chocolate', 'tea', 'protein bar', 'escalope', 'eggplant', 'french wine', 'pokemon shield']",21080
10386841,"['vegetables mix', 'cologne', 'white wine', 'iMac', 'bramble', 'ground beef', 'bluetooth headphones', 'whole wheat pasta']",21335
10584877,"['sandwich', 'corn', 'butter', 'bacon', 'black tea', 'zucchini', 'cereals', 'mushroom cream sauce', 'green tea', 'milk']",7502
11291330,"['avocado', 'airpods', 'pet food', 'meatballs', 'spaghetti', 'razor', 'fresh bread', 'ratchet & clank 2']",26511
11314592,"['burgers', 'tomatoes', 'low fat yogurt', 'asparagus', 'extra dark chocolate', 'phone car charger', 'hot dogs', 'pickles', 'ring light', 'grated cheese', 'cooking oil']",10538
10577394,"['salmon', 'megaman zero', 'razor', 'mayonnaise', 'napkins', 'dog food', 'portal 2', 'bluetooth headphones', 'whole wheat pasta', 'babies food']",36514
3848741,"['strong cheese', 'ratchet & clank 3', 'chicken', 'barbecue sauce', 'megaman zero 3', 'antioxydant juice', 'portal 2', 'almonds', 'seabass', 'yams', 'blueberries', 'honey', 'fresh tuna', 'razor', 'vegetables mix', 'mushroom cream sauce']",19794
10098482,"['light cream', 'ratchet & clank 3', 'chocolate bread', 'strawberries', 'asparagus', 'whole weat flour', 'salad', 'razor']",21747
7049785,"['sandwich', 'soda', 'escalope', 'blueberries', 'sparkling water', 'cereals', 'french wine', 'catfish']",30453
6516503,"['half-life: alyx', 'champagne', 'muffins', 'french wine', 'brownies', 'sparkling water', 'cereals', 'metroid fusion', 'mushroom cream sauce', 'gluten free bar']",27106
2317072,"['salmon', 'shrimp', 'laptop', 'tea', 'protein bar', 'bramble', 'dog food', 'megaman zero 3', 'cooking oil']",18969
6148596,"['burgers', 'tooth brush', 'zucchini', 'gums', 'cider', 'spinach', 'ratchet & clank']",32698
11335722,"['avocado', 'chicken', 'barbecue sauce', 'iphone 10', 'megaman zero 2', 'final fantasy XX', 'cookies', 'cat food', 'yogurt cake', 'dessert wine', 'blueberries', 'gums', 'eggs', 'french wine', 'pokemon shield', 'black beer', 'burger sauce']",26318
7844944,"['soda', 'shampoo', 'portal', 'airpods']",11918
1222490,"['strawberries', 'cauliflower', 'megaman zero 2', 'zucchini', 'mineral water', 'salad', 'spinach']",1898
683924,"['avocado', 'ratchet & clank 3', 'rice', 'barbecue sauce', 'iphone 10', 'soda', 'hot dogs', 'napkins', 'yams', 'pickles', 'whole weat flour', 'french fries', 'babies food']",5902
1827724,"['carrots', 'cream', 'airpods', 'shrimp', 'champagne', 'cotton buds', 'turkey', 'asparagus', 'pokemon scarlet', 'salad', 'fresh bread', 'burger sauce', 'body spray']",5190
5603633,"['sandwich', 'airpods', 'tooth brush', 'laptop', 'protein bar', 'whole weat flour', 'toothpaste', 'gums', 'cider', 'fresh tuna', 'black beer', 'ratchet & clank 2', 'babies food']",37022
4704097,"['sandwich', 'samsung galaxy 10', 'mint', 'light mayo', 'almonds', 'honey', 'vacuum cleaner', 'ratchet & clank 2']",23271
9481934,"['ratchet & clank 3', 'salmon', 'red wine', 'cottage cheese', 'iPad', 'almonds', 'final fantasy XIX', 'brownies', 'tomato juice', 'megaman zero 4', 'soup', 'green tea', 'ratchet & clank 2']",7915
8754064,"['chicken', 'half-life: alyx', 'red wine', 'cottage cheese', 'turkey', 'hot dogs', 'dessert wine', 'spaghetti', 'eggs', 'cooking oil', 'cereals', 'whole wheat pasta', 'mushroom cream sauce', 'fresh bread']",37146
3145951,"['cotton buds', 'pasta', 'yams', 'dessert wine', 'cider', 'dog food', 'whole wheat pasta', 'cooking oil', 'fresh bread', 'black beer']",13809
11549391,"['ratchet & clank 3', 'deodorant', 'airpods', 'final fantasy XX', 'strawberries', 'zucchini', 'melons', 'mineral water', 'pickles', 'pokemon sword', 'cider', 'seabass', 'portal 2', 'mashed potato']",1735
4449137,"['tomatoes', 'butter', 'escalope', 'toothpaste', 'eggs', 'cereals']",34777
1802075,"['deodorant', 'shampoo', 'pasta', 'protein bar', 'pickles', 'escalope']",21982
9639354,"['strawberries', 'black tea', 'minecraft', 'gums', 'sparkling water', 'red wine', 'herb & pepper']",18986
6804676,"['pokemon sword', 'ketchup', 'parmesan cheese', 'antioxydant juice']",3971
9379254,"['whole wheat rice', 'mint green tea', 'tea', 'brownies', 'toothpaste', 'nonfat milk', 'gums', 'ring light', 'honey', 'cereals', 'portal 2', 'metroid fusion', 'spaghetti', 'hand protein bar', 'frozen vegetables', 'body spray']",36197
9380423,"['chicken', 'burgers', 'pepper', 'red wine', 'mint', 'strawberries', 'pasta', 'razor', 'minecraft', 'phone charger', 'eggs', 'fresh tuna', 'cereals', 'hand protein bar']",29611
2154439,"['cottage cheese', 'cauliflower', 'melons', 'yams', 'spaghetti', 'tomato sauce']",5200
4146627,"['oil', 'phone car charger', 'napkins', 'pet food', 'tomato juice', 'ring light', 'hand protein bar']",11330
9029797,"['shampoo', 'cologne', 'shallot', 'yogurt cake', 'spaghetti', 'mashed potato', 'gluten free bar']",26403
8542115,"['avocado', 'light cream', 'deodorant', 'beer', 'turkey', 'strawberries', 'cookies', 'asparagus', 'pickles', 'pokemon sword', 'cider', 'tomato sauce', 'eggplant', 'gluten free bar', 'megaman zero 3', 'meatballs', 'body spray']",19042
10825436,"['tomatoes', 'antioxydant juice', 'mint', 'shallot', 'cauliflower', 'light mayo', 'brownies', 'mineral water', 'whole weat flour', 'eggplant', 'babies food']",2100
11059344,"['barbecue sauce', 'chocolate bread', 'megaman zero 2', 'asparagus', 'zucchini', 'whole weat flour', 'olive oil', 'green beans', 'eggplant']",15553
1582331,"['tomatoes', 'pancakes', 'white wine', 'strawberries', 'shallot', 'asparagus', 'spinach', 'green grapes', 'hand protein bar']",30774
8506900,"['ratchet & clank 2', 'whole wheat pasta', 'mayonnaise', 'green beans']",34881
8149739,"['oil', 'beer', 'bacon', 'zucchini', 'phone car charger', 'babies food']",18780
3290949,"['salmon', 'butter', 'asparagus', 'hot dogs', 'metroid prime', 'pickles', 'dessert wine', 'canned_tuna', 'spinach', 'soup']",2650
2803268,"['cream', 'airpods', 'beer', 'white wine', 'extra dark chocolate', 'gums', 'dog food', 'hand protein bar', 'ratchet & clank', 'body spray']",33831
578649,"['final fantasy XXII', 'frozen smoothie', 'mint green tea', 'gums', 'vacuum cleaner', 'frozen vegetables']",34702
6470060,"['barbecue sauce', 'burgers', 'chocolate bread', 'airpods', 'bacon', 'whole weat flour', 'cereals', 'mushroom cream sauce', 'green tea', 'burger sauce']",23462
9491490,"['oil', 'ratchet & clank 3', 'deodorant', 'chutney', 'tomatoes', 'oatmeal', 'salad', 'cider', 'ring light', 'toilet paper', 'fresh tuna']",38918
3655069,"['carrots', 'ratchet & clank 2', 'megaman zero 3', 'airpods', 'soda', 'bacon', 'escalope', 'whole weat flour', 'pickles', 'black beer', 'portal 2', 'pokemon shield', 'energy bar', 'gluten free bar', 'ratchet & clank']",6372
10231231,"['carrots', 'ratchet & clank 3', 'salmon', 'cotton buds', 'tooth brush', 'shallot', 'frozen smoothie', 'extra dark chocolate', 'light mayo', 'pokemon scarlet', 'seabass', 'salad', 'pokemon sword', 'toilet paper', 'soup', 'vacuum cleaner']",35569
2947225,"['gadget for tiktok streaming', 'cat food', 'hot dogs', 'pasta']",664
2089633,"['cream', 'shampoo', 'muffins', 'turkey', 'phone car charger', 'mushroom cream sauce']",29403
1398809,"['avocado', 'whole wheat rice', 'antioxydant juice', 'strawberries', 'black tea', 'bacon', 'zucchini', 'mineral water', 'salad', 'frozen vegetables', 'whole weat flour', 'spinach', 'green beans', 'fresh tuna']",6959
2113428,"['sandwich', 'asparagus', 'napkins', 'ground beef', 'cereals', 'fresh bread', 'salt']",29593
1734087,"['light cream', 'chicken', 'deodorant', 'cologne', 'samsung galaxy 10', 'minecraft', 'chili', 'pokemon sword', 'frozen vegetables']",24993
6836453,"['white wine', 'brownies', 'canned_tuna', 'olive oil', 'green beans']",37959
5373425,"['energy drink', 'deodorant', 'low fat yogurt', 'cologne', 'cotton buds', 'candy bars', 'toothpaste', 'ring light', 'spinach', 'energy bar', 'green tea', 'body spray']",20386
9878951,"['eggplant', 'french wine', 'melons', 'antioxydant juice']",37989
8078096,"['avocado', 'cake', 'light cream', 'corn', 'cologne', 'phone car charger', 'pokemon scarlet', 'cider', 'trout', 'seabass', 'metroid fusion', 'soup', 'mushroom cream sauce', 'herb & pepper', 'green tea']",35672
3911017,"['deodorant', 'pepper', 'shampoo', 'tomatoes', 'black tea', 'shower gel', 'yams', 'protein bar', 'nonfat milk', 'spaghetti', 'water spray', 'whole wheat pasta', 'energy bar', 'green tea']",21209
8418031,"['low fat yogurt', 'cotton buds', 'black tea', 'almonds', 'pokemon shield', 'gluten free bar']",25312
1950598,"['yogurt cake', 'chocolate bread', 'portal']",16478
7754238,"['strong cheese', 'chocolate bread', 'tooth brush', 'butter', 'cookies', 'zucchini', 'melons', 'tea', 'escalope', 'blueberries', 'eggplant', 'milk']",30397
2916169,"['pancakes', 'whole wheat rice', 'tooth brush', 'megaman zero 2', 'butter', 'strawberries', 'iphone 10', 'phone car charger', 'almonds', 'mayonnaise', 'yams', 'tea', 'gums', 'cider', 'black beer']",2525
11702621,"['cotton buds', 'shrimp', 'megaman zero 2', 'samsung galaxy 10', 'cat food', 'seabass', 'blueberries', 'honey', 'fresh tuna', 'fresh bread']",443
4379766,"['deodorant', 'cottage cheese', 'brownies', 'dessert wine', 'gadget for tiktok streaming']",25560
1937449,"['avocado', 'pasta', 'low fat yogurt', 'whole wheat rice']",7544
4715062,"['megaman zero 3', 'mushroom cream sauce', 'pokemon shield', 'cotton buds']",10757
135408,"['tomatoes', 'antioxydant juice', 'asparagus', 'zucchini', 'salad', 'canned_tuna', 'spinach']",37695
10970084,"['corn', 'final fantasy XX', 'cookies', 'light mayo', 'phone car charger', 'salad', 'half-life 2', 'eggs', 'fresh tuna', 'green beans', 'vacuum cleaner', 'energy bar']",16236
853372,"['cake', 'energy drink', 'rice', 'chocolate bread', 'shampoo', 'champagne', 'cookies', 'soup', 'mineral water', 'pet food', 'bramble', 'eggs', 'dog food', 'vegetables mix', 'pokemon violet', 'black beer']",2546
5270297,"['oil', 'pepper', 'chocolate bread', 'barbecue sauce', 'cotton buds', 'beer', 'cologne', 'butter', 'asparagus', 'light mayo', 'shower gel', 'mayonnaise', 'pokemon sword', 'cider', 'toilet paper', 'whole wheat pasta', 'gluten free bar']",14972
4204004,"['sandwich', 'babies food', 'pasta', 'hot dogs', 'gums', 'olive oil', 'ground beef', 'dog food', 'cooking oil', 'energy bar', 'milk']",11155
2214709,"['rice', 'shrimp', 'megaman zero', 'cookies', 'soup', 'herb & pepper']",26012
1815598,"['pepper', 'shallot', 'razor', 'laptop', 'dog food', 'burger sauce', 'red wine', 'whole wheat pasta', 'hand protein bar', 'parmesan cheese', 'babies food']",35516
181143,"['sandwich', 'beer', 'napkins', 'fresh tuna', 'red wine']",18485
3463050,"['sandwich', 'portal', 'whole wheat rice', 'hot dogs', 'pokemon scarlet', 'protein bar', 'black beer', 'tomato sauce', 'seabass', 'red wine', 'mushroom cream sauce', 'energy bar', 'meatballs']",19920
2975915,"['light cream', 'pepper', 'beer', 'laptop', 'phone car charger', 'brownies', 'minecraft', 'salad', 'spaghetti', 'eggs', 'seabass', 'red wine', 'french wine', 'vegetables mix', 'energy bar']",38561
3978879,"['salmon', 'zucchini', 'yams', 'protein bar', 'mineral water', 'final fantasy XIX', 'spinach', 'cereals', 'herb & pepper']",38687
9791199,"['sandwich', 'cookies', 'pasta', 'gluten free bar']",7644
1163685,"['cream', 'burger sauce', 'frozen vegetables', 'spinach', 'catfish', 'cereals', 'fresh bread', 'ratchet & clank 2', 'babies food']",30418
7042434,"['sandwich', 'tomatoes', 'samsung galaxy 10', 'asparagus', 'nonfat milk', 'green grapes']",8075
10055670,"['whole weat flour', 'meatballs', 'eggs', 'spinach', 'whole wheat pasta', 'gluten free bar', 'babies food']",28406
6172640,"['half-life: alyx', 'chocolate bread', 'muffins', 'megaman zero 2', 'butter', 'bacon', 'tea', 'almonds', 'mineral water', 'ring light', 'cooking oil', 'vacuum cleaner']",9666
8470627,"['cauliflower', 'energy drink', 'dog food', 'babies food']",18254
10792265,"['airpods', 'canned_tuna', 'grated cheese', 'green grapes', 'french fries', 'body spray']",2200
8752966,"['final fantasy XX', 'black tea', 'phone car charger', 'ground beef', 'trout', 'sparkling water', 'pokemon violet']",21839
4869512,"['tomatoes', 'mineral water']",14800
1201058,"['sandwich', 'pancakes', 'chocolate', 'black tea', 'laptop', 'minecraft', 'protein bar', 'green grapes', 'energy bar', 'body spray']",13565
7518948,"['frozen smoothie', 'shallot', 'iMac', 'nonfat milk', 'pet food', 'portal']",11177
454767,"['toothpaste', 'spaghetti', 'body spray']",35500
3286485,"['cake', 'burgers', 'chocolate bread', 'samsung galaxy 10', 'butter', 'asparagus', 'pokemon scarlet', 'pickles', 'nonfat milk', 'chili', 'grated cheese', 'green beans', 'trout', 'spaghetti', 'metroid fusion', 'pokemon shield']",13349
1063391,"['cake', 'barbecue sauce', 'shrimp', 'mint', 'final fantasy XXII', 'shallot', 'iphone 10', 'cottage cheese', 'napkins', 'pickles', 'nonfat milk', 'olive oil', 'bramble', 'cider', 'spinach', 'green grapes', 'meatballs']",24044
5054126,"['shampoo', 'whole wheat rice', 'samsung galaxy 10', 'shower gel', 'minecraft']",16165
7831887,"['avocado', 'cream', 'shampoo', 'tomatoes', 'shrimp', 'shallot', 'megaman zero', 'soda', 'toothpaste', 'olive oil', 'ground beef', 'trout', 'spinach', 'cereals', 'pokemon shield', 'energy bar']",6169
11108018,"['fromage blanc', 'champagne', 'turkey', 'butter', 'asparagus', 'hot dogs', 'salad', 'tomato juice', 'green tea']",25761
4179867,"['chicken', 'burgers', 'chocolate bread', 'whole wheat rice', 'final fantasy XXII', 'extra dark chocolate', 'oatmeal', 'tea', 'chili', 'pokemon sword', 'eggplant', 'bluetooth headphones', 'hand protein bar', 'meatballs']",26706
5286200,"['chicken', 'light cream', 'corn', 'pancakes', 'iphone 10', 'frozen smoothie', 'milk', 'bacon', 'extra dark chocolate', 'mineral water', 'salad', 'gluten free bar', 'fresh bread', 'babies food']",28582
5726063,"['chicken', 'deodorant', 'pancakes', 'napkins', 'dessert wine', 'pet food', 'gums', 'tomato juice', 'dog food', 'cereals', 'bluetooth headphones', 'ketchup', 'ratchet & clank']",28006
4810935,"['light cream', 'tomatoes', 'salmon', 'iPad', 'yogurt cake', 'metroid prime', 'half-life 2', 'trout', 'portal 2', 'mashed potato', 'burger sauce', 'babies food']",13159
1083579,"['strong cheese', 'burgers', 'champagne', 'mint', 'tooth brush', 'iPad', 'cookies', 'laptop', 'final fantasy XX', 'pokemon scarlet', 'iphone 10', 'tomato juice', 'tomato sauce', 'pokemon violet']",39023
11112300,"['cake', 'chocolate bread', 'mint', 'megaman zero 2', 'soda', 'tea', 'mineral water', 'eggplant', 'spaghetti', 'cereals', 'green tea', 'frozen vegetables', 'milk']",391
7393775,"['cotton buds', 'whole weat flour', 'pet food', 'cereals', 'french wine', 'soup', 'babies food']",18254
9591717,"['muffins', 'megaman zero', 'extra dark chocolate', 'brownies', 'mineral water', 'black beer', 'tomato juice', 'catfish', 'megaman zero 3', 'vacuum cleaner', 'gluten free bar']",39887
5042675,"['chicken', 'shrimp', 'bacon', 'escalope', 'trout', 'sparkling water', 'red wine', 'bluetooth headphones', 'babies food']",29805
4508713,"['whole wheat pasta', 'chocolate bread', 'shampoo', 'shrimp', 'cotton buds', 'megaman zero 2', 'antioxydant juice', 'final fantasy XX', 'escalope', 'ground beef', 'fresh tuna', 'vegetables mix', 'energy bar', 'ham']",23365
878004,"['pepper', 'salmon', 'frozen smoothie', 'bacon', 'asparagus', 'chili', 'dog food', 'ring light', 'toilet paper', 'metroid fusion', 'babies food']",13571
3405027,"['half-life: alyx', 'chocolate bread', 'cologne', 'samsung galaxy 10', 'butter', 'soup', 'pet food', 'eggs', 'sparkling water', 'french fries', 'hand protein bar', 'babies food']",5109
1482095,"['energy drink', 'airpods', 'final fantasy XIX']",7398
11801768,"['sandwich', 'rice', 'salmon', 'corn', 'cat food', 'light mayo', 'trout', 'soup']",30156
549398,"['bacon', 'zucchini', 'phone car charger', 'oatmeal', 'cereals', 'mushroom cream sauce', 'fresh bread']",5342
4241425,"['cake', 'pancakes', 'airpods', 'shampoo', 'mayonnaise', 'napkins', 'pokemon sword', 'green grapes', 'eggplant', 'meatballs']",9554
3852439,"['strong cheese', 'tooth brush', 'canned_tuna', 'spinach', 'cereals', 'fresh bread']",22309
591856,"['oil', 'ratchet & clank', 'rice', 'muffins', 'cottage cheese', 'turkey', 'cauliflower', 'protein bar', 'iMac', 'chili', 'pokemon violet', 'hand protein bar', 'ratchet & clank 2']",4958
4612378,"['airpods', 'white wine', 'muffins', 'antioxydant juice', 'asparagus', 'soda', 'mashed potato', 'gums', 'megaman zero 4', 'cooking oil', 'hand protein bar']",31230
7740422,"['chicken', 'whole wheat rice', 'laptop', 'mint green tea', 'shower gel', 'melons', 'bacon', 'iMac', 'pet food', 'phone charger', 'tomato juice', 'gadget for tiktok streaming', 'mashed potato', 'ratchet & clank']",20252
7243498,"['final fantasy XXII', 'megaman zero', 'final fantasy XX', 'antioxydant juice', 'yogurt cake', 'melons', 'phone car charger', 'cat food', 'olive oil', 'honey', 'french fries', 'mashed potato', 'gluten free bar', 'salt', 'babies food']",1197
2547838,"['strong cheese', 'zucchini', 'strawberries', 'green grapes']",18187
9259028,"['half-life: alyx', 'low fat yogurt', 'airpods', 'mint', 'butter', 'cat food', 'flax seed', 'asparagus', 'green beans', 'seabass', 'eggplant', 'honey', 'herb & pepper', 'burger sauce']",533
6441402,"['energy drink', 'tooth brush', 'megaman zero', 'chocolate', 'bacon', 'megaman zero 2', 'pickles', 'escalope', 'ring light', 'honey', 'gadget for tiktok streaming', 'bluetooth headphones', 'meatballs']",17033
171285,"['burgers', 'champagne', 'asparagus', 'phone car charger', 'napkins', 'cider', 'honey', 'spinach', 'energy bar']",13947
4778371,"['chocolate bread', 'laptop', 'green grapes', 'gadget for tiktok streaming', 'body spray']",33839
2579575,"['rice', 'burger sauce', 'fresh bread', 'parmesan cheese', 'babies food']",26903
3392846,"['chicken', 'final fantasy XX', 'final fantasy XIX', 'ring light', 'red wine', 'bluetooth headphones', 'french fries', 'black beer']",1643
11813694,"['fromage blanc', 'bluetooth headphones', 'salmon', 'shallot', 'yogurt cake', 'mayonnaise', 'almonds', 'dog food', 'eggs', 'toilet paper', 'cereals', 'gluten free bar', 'soup', 'cooking oil', 'meatballs', 'frozen vegetables', 'babies food']",31548
544659,"['carrots', 'chocolate bread', 'pancakes', 'shallot', 'asparagus', 'zucchini', 'mineral water', 'blueberries', 'cereals', 'green beans', 'eggplant']",13229
7088743,"['half-life: alyx', 'corn', 'tomatoes', 'tooth brush', 'shallot', 'napkins', 'minecraft', 'pickles', 'escalope', 'cider', 'pokemon shield', 'mashed potato', 'gluten free bar']",20384
5022299,"['sandwich', 'deodorant', 'shampoo', 'airpods', 'beer', 'tooth brush', 'asparagus', 'oatmeal', 'dessert wine', 'toothpaste', 'toilet paper', 'hand protein bar', 'energy bar', 'green tea']",11783
3590270,"['half-life: alyx', 'cream', 'megaman zero 2', 'butter', 'laptop', 'gadget for tiktok streaming', 'almonds', 'burger sauce', 'parmesan cheese', 'mushroom cream sauce', 'hand protein bar', 'ratchet & clank 2', 'ham']",24171
4459810,"['chicken', 'burgers', 'shampoo', 'green tea', 'antioxydant juice', 'cat food', 'cookies', 'shower gel', 'toothpaste', 'green beans', 'gluten free bar', 'body spray']",32763
1592618,"['antioxydant juice', 'butter', 'mint green tea', 'light mayo', 'green tea', 'salt', 'babies food']",13873
4184930,"['strong cheese', 'deodorant', 'bramble', 'metroid prime']",24256
6668668,"['low fat yogurt', 'whole wheat rice', 'turkey', 'cat food', 'pasta', 'almonds', 'dessert wine', 'pet food', 'ring light', 'honey', 'dog food', 'eggplant', 'portal', 'milk']",1642
8473383,"['light cream', 'tomatoes', 'airpods', 'white wine', 'iphone 10', 'cookies', 'chili', 'tomato sauce', 'whole wheat pasta', 'mushroom cream sauce', 'meatballs', 'ratchet & clank 2']",19164
9450231,"['deodorant', 'shampoo', 'beer', 'samsung galaxy 10', 'flax seed', 'phone car charger', 'final fantasy XIX', 'pickles', 'grated cheese', 'honey', 'ring light', 'portal 2']",4023
8294071,"['ratchet & clank 3', 'turkey', 'butter', 'cauliflower', 'catfish', 'cereals', 'pokemon shield', 'body spray']",19609
5098820,"['muffins', 'iPad', 'extra dark chocolate', 'phone car charger', 'mayonnaise', 'metroid prime', 'whole weat flour', 'canned_tuna', 'blueberries', 'ground beef', 'grated cheese', 'pokemon violet', 'meatballs']",20379
9181064,"['final fantasy XXII', 'portal 2', 'iMac', 'green grapes', 'honey', 'cereals', 'water spray', 'mushroom cream sauce', 'ratchet & clank', 'milk']",19204
11426292,"['airpods', 'cottage cheese', 'chocolate', 'pasta', 'gadget for tiktok streaming', 'phone car charger', 'dessert wine', 'iMac', 'dog food', 'megaman zero 4', 'metroid fusion', 'green tea', 'ratchet & clank']",30834
